information__system,information__institution,information__storage_vendor,information__filesystem_type,information__client_nodes,information__client_total_procs,io500__score,io500__bw,io500__md,information__data,information__id,information__submitter,information__submission_date,information__embargo_end_date,information__storage_install_date,information__storage_refresh_date,information__filesystem_name,information__filesystem_version,information__client_procs_per_node,information__client_operating_system,information__client_operating_system_version,information__client_kernel_version,information__md_nodes,information__md_storage_devices,information__md_storage_type,information__md_volatile_memory_capacity,information__md_storage_interface,information__md_network,information__md_software_version,information__md_operating_system_version,information__ds_nodes,information__ds_storage_devices,information__ds_storage_type,information__ds_volatile_memory_capacity,information__ds_storage_interface,information__ds_network,information__ds_software_version,information__ds_operating_system_version,information__note,information__best,io500__tot_iops,ior__easy_write,ior__easy_read,ior__hard_write,ior__hard_read,mdtest__easy_write,mdtest__easy_stat,mdtest__easy_delete,mdtest__hard_write,mdtest__hard_read,mdtest__hard_stat,mdtest__hard_delete,find__hard
Palmetto,Clemson University,Dell,BeeGFS,48,48,7.64,2.93,19.88,zip,2018-11-22,Clemson ACI,2018-10-22,,09/2012,07/2018,scratch1b,7.1,1,Oracle Linux,7.4,4.1.12-103.9.4.el7uek.x86_64,16,2,SSD,128GB,SATA,10Gbps Ethernet,7.1,7.4,16,10,HDD,128GB,SATA,10Gbps Ethernet,7.1,7.4,,true,17.70,4.43,3.07,3.91,1.40,55.01,87.09,60.61,2.89,11.88,38.78,5.38,11.77
ofsdev,Clemson University,Dell,BeeGFS,16,32,13.12,3.17,54.21,zip,2018-11-23,Clemson ACI,2018-08-28,,04/2012,08/2018,ofsdev,7,2,Oracle Linux,7.5,4.1.12-103.9.4.el7uek.x86_64,16,2,SSD,16GB,SATA,FDR InfiniBand,7.0,7.5,16,12,HDD,16GB,SAS,FDR InfiniBand,7.0,7.5,,,35.46,13.85,11.33,0.13,4.90,83.03,307.62,163.40,6.48,16.61,72.89,6.55,348.04
ofsdev,Clemson University,Dell,Lustre,16,64,8.63,2.10,35.37,zip,2018-11-24,Clemson ACI,2018-11-08,,04/2012,11/2018,lofstest,2.10.5,4,Oracle Linux,7.5,3.10.0-862.14.4.el7.x86_64,16,2,SSD,16GB,SATA,FDR InfiniBand,2.10.5,7.5,16,12,HDD,16GB,SAS,FDR InfiniBand,2.10.5,7.5,,,23.26,13.05,7.30,0.17,1.20,20.34,81.42,20.97,15.49,28.89,37.20,11.14,380.35
Palmetto,Clemson University,Dell,BeeGFS,16,16,9.07,2.84,28.95,zip,2018-11-25,Clemson ACI,2018-10-24,,01/2015,10/2018,scratch4,7.1,1,Oracle Linux,7.4,3.10.0-862.9.1.el7.x86_64,6,2,SSD,256GB,SATA,FDR InfiniBand,7.1,7.5,6,10,HDD,256GB,SATA,FDR InfiniBand,7.1,7.5,,,22.50,3.78,4.74,1.72,2.12,26.94,108.02,32.98,5.32,12.83,83.65,6.33,142.19
Ghost,Sandia National Laboratories,IBM,GPFS,10,100,0.31,0.05,1.85,zip,2018-11-26,Jay Lofstead,2018-11-10,,,,GPFS1,4.2.1.1,10,RHEL,7,3.10.0-862.14.4.1chaos.ch6.x86_64,,,,,,,,,,,,,,,,,,,0.94,0.11,0.11,0.01,0.04,3.52,2.53,1.05,1.56,0.41,1.08,0.56,36.85
Palmetto,Clemson University,Dell,OrangeFS,32,32,2.31,1.93,2.77,zip,2018-11-27,Clemson ACI,2018-10-18,,08/2012,07/2018,scratch1,2.9.7,1,Oracle Linux,7.4,4.1.12-103.9.4.el7uek.x86_64,16,2,SSD,128GB,SATA,10Gbps Ethernet,2.9.7,7.4,16,10,HDD,128GB,SATA,10Gbps Ethernet,2.9.7,7.4,,true,4.14,3.99,1.95,1.65,1.07,2.15,4.64,4.21,1.08,3.44,5.34,2.94,1.43
ofsdev,Clemson University,Dell,Lustre,16,32,6.07,1.34,27.56,zip,2018-11-28,Clemson ACI,2018-11-08,,04/2012,11/2018,lofstest,2.10.5,2,Oracle Linux,7.5,3.10.0-862.14.4.el7.x86_64,16,2,SSD,16GB,SATA,FDR InfiniBand,2.10.5,7.5,16,12,HDD,16GB,SAS,FDR InfiniBand,2.10.5,7.5,,,16.93,13.30,7.31,0.19,0.17,16.25,37.97,18.96,14.03,15.11,34.61,11.45,338.39
ofsdev,Clemson University,Dell,Lustre,16,128,8.58,2.05,35.83,zip,2018-11-29,Clemson ACI,2018-11-08,,04/2012,11/2018,lofstest,2.10.5,8,Oracle Linux,7.5,3.10.0-862.14.4.el7.x86_64,16,2,SSD,16GB,SATA,FDR InfiniBand,2.10.5,7.5,16,12,HDD,16GB,SAS,FDR InfiniBand,2.10.5,7.5,,,23.27,12.48,7.08,0.24,0.85,19.81,99.65,21.10,15.16,30.90,38.66,9.86,364.78
Bytecollider,CERN,,CephFS,64,64,7.56,2.83,20.16,zip,2018-11-30,Pablo Llopis Sanmillan; Dan Van Der Ster,2018-11-09,,10/2017,,Jim,12.2.9,1,CentOS,7.5,,72,3,SSD,128GB,10Gbps Ethernet,10Gbps Ethernet; Infiniband,12.2.9,7.5,72,3,SSD,128GB,SATA,10Gbps Ethernet,12.2.8,7.5,,true,17.65,4.73,7.36,0.82,2.25,4.34,17.30,2.43,4.12,7153.97,14.63,3.40,102.06
ofsdev,Clemson University,Dell,BeeGFS,10,80,10.17,2.32,44.67,zip,2018-11-31,Clemson ACI,2018-11-05,,04/2012,11/2018,ofsdev,7.1,8,Oracle Linux,7.5,4.14.35-1818.3.3.el7uek.x86_64,16,2,SSD,16GB,SATA,FDR InfiniBand,7.1,7.5,16,12,HDD,16GB,SAS,FDR InfiniBand,7.1,7.5,,,28.06,10.97,9.96,0.06,4.47,84.80,373.57,101.05,5.82,5.53,88.41,5.77,301.83
