#seq,list,rank,id,type,hetero,nodecount,rpeak,rmax,power,totalcores,cn.cpucore,cn.acccore,cn.dramcap,cn.drambw,cn.hbmcap,cn.hbmbw,total.cpucores,total.acccores,total.dramcap,total.drambw,total.hbmcap,total.hbmbw,pfs.cap,pfs.bw
6,201111,5,176927,Cluster,1,1432,2288,1192,1399,73278,12,40,54,64,9,4452,77328,56994,90919,754974.72,12888,6375264,7476346.88,200
7,201206,1,177556,MPP,0,98304,20133,17173,7890,1572864,16,0,16,42.6,0,0,1572864,0,1572864,4187750.4,0,0,57671680,1500
7,201206,2,177232,Cluster,0,82944,11280,10510,12660,705024,8,0,16,64,0,0,705024,0,1410048,5308416,0,0,31457280,340
7,201206,3,177718,MPP,0,49152,10066,8587,3945,786432,16,0,16,42.6,0,0,786432,0,786432,2093875.2,0,0,36700160,240
7,201206,4,177719,Cluster,0,9216,3185,2897,3423,147456,16,0,32,102.4,0,0,147456,0,294912,943718.4,0,0,15728640,250
7,201206,5,176929,MPP,1,7168,4701,2566,4040,186368,12,14,32,20.7,3,148,86016,100352,229376,148400,21504,1060864,2097152,
8,201211,1,177975,MPP,1,18688,27113,17590,8209,560640,16,14,32,51,6,250,299008,261632,598016,956825.6,112128,4672000,31457280,1024
8,201211,2,177556,MPP,0,98304,20133,17173,7890,1572864,16,0,16,42.6,0,0,1572864,0,1572864,4187750.4,0,0,57671680,1500
8,201211,3,177232,Cluster,0,82944,11280,10510,12660,705024,8,0,16,64,0,0,705024,0,1410048,5308416,0,0,31457280,340
8,201211,4,177718,MPP,0,49152,10066,8587,3945,786432,16,0,16,42.6,0,0,786432,0,786432,2093875.2,0,0,36700160,240
8,201211,5,177722,MPP,0,28672,5872,5009,2301,458752,16,0,16,42.6,0,0,458752,0,458752,1221427.2,0,0,6144,33
9,201306,1,177999,MPP,1,17792,100679,61445,18482,4981760,24,256,64,60,128,320,427008,4554752,1138688,1067520,2277376,5693440,19922944,1024
9,201306,2,177975,MPP,1,18688,27113,17590,8209,560640,16,14,32,51,6,250,299008,261632,598016,956825.6,112128,4672000,31457280,1024
9,201306,3,177556,MPP,0,98304,20133,17173,7890,1572864,16,0,16,42.6,0,0,1572864,0,1572864,4187750.4,0,0,57671680,1500
9,201306,4,177232,Cluster,0,82944,11280,10510,12660,705024,8,0,16,64,0,0,705024,0,1410048,5308416,0,0,31457280,340
9,201306,5,177718,MPP,0,49152,10066,8587,3945,786432,16,0,16,42.6,0,0,786432,0,786432,2093875.2,0,0,36700160,240
10,201311,1,177999,MPP,1,17792,100679,61445,18482,4981760,24,256,64,60,128,320,427008,4554752,1138688,1067520,2277376,5693440,19922944,1024
10,201311,2,177975,MPP,1,18688,27113,17590,8209,560640,16,14,32,51,6,250,299008,261632,598016,956825.6,112128,4672000,31457280,1024
10,201311,3,177556,MPP,0,98304,20133,17173,7890,1572864,16,0,16,42.6,0,0,1572864,0,1572864,4187750.4,0,0,57671680,1500
10,201311,4,177232,Cluster,0,82944,11280,10510,12660,705024,8,0,16,64,0,0,705024,0,1410048,5308416,0,0,31457280,340
10,201311,5,177718,MPP,0,49152,10066,8587,3945,786432,16,0,16,42.6,0,0,786432,0,786432,2093875.2,0,0,36700160,240
11,201406,1,177999,MPP,1,17792,100679,61445,18482,4981760,24,256,64,60,128,320,427008,4554752,1138688,1067520,2277376,5693440,19922944,1024
11,201406,2,177975,MPP,1,18688,27113,17590,8209,560640,16,14,32,51,6,250,299008,261632,598016,956825.6,112128,4672000,31457280,1024
11,201406,3,177556,MPP,0,98304,20133,17173,7890,1572864,16,0,16,42.6,0,0,1572864,0,1572864,4187750.4,0,0,57671680,1500
11,201406,4,177232,Cluster,0,82944,11280,10510,12660,705024,8,0,16,64,0,0,705024,0,1410048,5308416,0,0,31457280,340
11,201406,5,177718,MPP,0,49152,10066,8587,3945,786432,16,0,16,42.6,0,0,786432,0,786432,2093875.2,0,0,36700160,240
12,201411,1,177999,MPP,1,17792,100679,61445,18482,4981760,24,256,64,60,128,320,427008,4554752,1138688,1067520,2277376,5693440,19922944,1024
12,201411,2,177975,MPP,1,18688,27113,17590,8209,560640,16,14,32,51,6,250,299008,261632,598016,956825.6,112128,4672000,31457280,1024
12,201411,3,177556,MPP,0,98304,20133,17173,7890,1572864,16,0,16,42.6,0,0,1572864,0,1572864,4187750.4,0,0,57671680,1500
