200506,1,174210,BlueGene/L
200506,2,174016,BGW
200506,3,173737,Columbia
200506,4,167148,Earth-Simulator
200506,5,174193,MareNostrum
200506,6,173989,Stella
200506,7,173300,Thunder
200506,8,175108,Blue Protein
200506,9,175107,eServer Blue Gene Solution
200506,10,174144,Red Storm, Cray XT3, 2.0 GHz
200511,1,174275,BlueGene/L
200511,2,174016,BGW
200511,3,174290,ASC Purple
200511,4,173737,Columbia
200511,5,174736,Thunderbird
200511,6,174240,Red Storm Cray XT3, 2.0 GHz
200511,7,167148,Earth-Simulator
200511,8,174193,MareNostrum
200511,9,173989,Stella
200511,10,174479,Jaguar
200606,1,174275,BlueGene/L
200606,2,174016,BGW
200606,3,174683,ASC Purple
200606,4,173737,Columbia
200606,5,174632,Tera-10
200606,6,174818,Thunderbird
200606,7,174563,TSUBAME Grid Cluster
200606,8,173988,JUBL
200606,9,174240,Red Storm Cray XT3, 2.0 GHz
200606,10,167148,Earth-Simulator
200611,1,174275,BlueGene/L
200611,2,174739,Red Storm
200611,3,174016,BGW
200611,4,174683,ASC Purple
200611,5,175180,MareNostrum
200611,6,174818,Thunderbird
200611,7,174740,Tera-10
200611,8,173737,Columbia
200611,9,174867,TSUBAME Grid Cluster
200611,10,174712,Jaguar
200706,1,174275,BlueGene/L
200706,2,174841,Jaguar
200706,3,174739,Red Storm
200706,4,174016,BGW
200706,5,174897,New York Blue
200706,6,174683,ASC Purple
200706,7,175104,eServer Blue Gene Solution
200706,8,175877,Abe
200706,9,175180,MareNostrum
200706,10,174855,HLRB-II
200711,1,175171,BlueGene/L
200711,2,176501,JUGENE
200711,3,175555,SGI Altix ICE 8200, Xeon quad core 3.0 GHz
200711,4,175324,EKA
200711,5,175150,Cluster Platform 3000 BL460c, Xeon 53xx 2.66GHz, Infiniband
200711,6,175182,Red Storm
200711,7,174841,Jaguar
200711,8,174016,BGW
200711,9,175161,Franklin
200711,10,174897,New York Blue
200806,1,176026,Roadrunner
200806,2,175171,BlueGene/L
200806,3,176208,Kraken XT5
200806,4,176322,Intrepid
200806,5,175589,Ranger
200806,6,175549,Jaguar
200806,7,176501,JUGENE
200806,8,175556,Encanto
200806,9,175634,EKA
200806,10,176503,Blue Gene/P Solution
200811,1,176028,Roadrunner
200811,2,176029,Jaguar
200811,3,176203,Pleiades
200811,4,175171,BlueGene/L
200811,5,176208,Kraken XT5
200811,6,176322,Intrepid
200811,7,176183,Ranger
200811,8,176150,Franklin
200811,9,175549,Jaguar
200811,10,176163,Red Storm
200906,1,176028,Roadrunner
200906,2,176029,Jaguar
200906,3,176321,JUGENE
200906,4,176203,Pleiades
200906,5,175171,BlueGene/L
200906,6,176208,Kraken XT5
200906,7,176322,Intrepid
200906,8,176183,Ranger
200906,9,176324,Dawn
200906,10,176488,JUROPA
200911,1,176544,Jaguar
200911,2,176027,Roadrunner
